City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
294,pathein,0,MM,1520996931,70,16.78,94.73,83.69,4.72
295,talnakh,64,RU,1520996931,76,69.49,88.39,-0.46,20.04
296,salalah,0,OM,1520992200,73,17.01,54.1,71.6,5.82
297,pinega,92,RU,1520996932,87,64.7,43.39,22.04,6.73
298,abu dhabi,0,AE,1520992800,64,24.47,54.37,71.6,2.24
299,esperance,20,TT,1520992800,88,10.24,-61.45,75.2,6.93
300,cotonou,20,BJ,1520992800,83,6.37,2.43,82.4,11.41
301,yumen,0,CN,1520996934,73,40.29,97.04,45.44,9.31
302,santa isabel do rio negro,0,BR,1520996934,60,-0.41,-65.02,86.39,8.41
303,ancud,92,CL,1520996934,96,-41.87,-73.83,54.89,13.11
304,tessalit,0,ML,1520996935,29,20.2,1.01,62.36,3.71
305,wladyslawowo,90,PL,1520994600,93,54.79,18.4,37.4,10.29
306,lolodorf,92,CM,1520996936,96,3.23,10.73,72.98,3.15
307,pinawa,0,CA,1520996936,83,50.15,-95.88,26.18,14.45
308,yanam,0,IN,1520996936,77,16.73,82.22,79.28,7.4
309,sabha,0,LY,1520996937,38,27.03,14.43,59.48,7.85
310,qaqortoq,48,GL,1520995800,66,60.72,-46.03,15.8,1.12
311,cap malheureux,75,MU,1520992800,78,-19.98,57.61,80.6,18.34
312,salumbar,0,IN,1520996938,36,24.14,74.05,71.09,2.59
313,aitape,12,PG,1520996939,86,-3.15,142.36,84.32,10.09
314,terni,12,IT,1520996939,83,42.56,12.64,30.59,1.48
315,sabang,48,PH,1520996940,88,13.72,123.58,81.17,9.19
316,gizo,0,IL,1520994000,58,31.8,34.94,55.4,3.36
317,concepcion del oro,0,MX,1520996941,61,24.63,-101.42,54.26,1.48
318,mendoza,0,AR,1520996400,36,-32.89,-68.84,62.6,3.36
319,weida,92,DE,1520996942,98,50.77,12.06,36.98,11.43
320,sur,0,OM,1520996728,91,22.57,59.53,75.41,7.85
321,mizdah,8,LY,1520996943,76,31.45,12.98,50.03,5.06
322,fortuna,0,ES,1520994600,71,38.18,-1.13,55.4,4.94
323,narsaq,0,GL,1520995800,66,60.91,-46.05,15.8,1.12
324,keflavik,75,IS,1520996400,74,64.0,-22.56,41.0,12.75
325,haines junction,20,CA,1520996945,95,60.75,-137.51,30.77,1.7
326,grand-santi,0,GF,1520996945,64,4.27,-54.38,79.37,4.94
327,ellisras,0,ZA,1520996945,92,-23.67,27.74,63.53,4.38
328,billings,1,US,1520992380,64,45.79,-108.5,35.6,6.93
329,margate,40,AU,1520994600,52,-43.03,147.26,68.0,8.05
330,ilula,76,TZ,1520996947,94,-7.68,36.04,59.39,2.48
331,suhbaatar,0,MN,1520996947,61,50.23,106.21,11.06,3.6
332,valkeala,90,FI,1520994000,96,60.94,26.8,32.0,9.17
333,san patricio,8,PY,1520996948,72,-26.98,-56.83,74.15,4.72
334,gonaives,20,HT,1520996949,89,19.45,-72.68,72.71,2.37
335,port macquarie,40,AU,1520996400,65,-31.43,152.91,77.0,8.05
336,ornskoldsvik,0,SE,1520994000,78,63.29,18.72,21.2,9.17
337,moose factory,1,CA,1520992800,100,51.26,-80.61,5.0,2.24
338,ulladulla,75,AU,1520992800,64,-35.36,150.48,73.4,5.82
339,inuvik,40,CA,1520992800,67,68.36,-133.71,19.4,4.7
340,bilibino,8,RU,1520996952,55,68.06,166.44,-19.81,3.04
341,harrison,1,US,1520994900,79,39.26,-84.82,30.2,6.93
342,alcains,92,PT,1520996953,98,39.92,-7.46,49.94,9.75
343,ndjole,56,GA,1520996954,93,-0.18,10.76,74.42,3.38
344,mayo,75,CA,1520992800,69,63.59,-135.9,39.2,16.11
345,port said,0,EG,1520996955,60,25.34,30.55,47.33,2.82
346,filotion,0,GR,1520994000,71,37.05,25.5,57.2,5.82
347,houston,1,US,1520996100,39,29.76,-95.37,62.6,5.82
348,guanica,0,PR,1520996934,99,17.97,-66.91,77.93,14.0
349,smolenka,88,PL,1520996956,96,54.15,22.76,42.56,11.21
350,kirovsk,64,RU,1520996956,81,67.62,33.66,10.97,3.83
351,hobyo,68,SO,1520996957,89,5.35,48.53,78.2,7.74
352,baghdad,0,IQ,1520992800,58,33.3,44.38,59.0,8.05
353,atbasar,76,KZ,1520996958,84,51.81,68.36,12.32,15.79
354,acapulco,5,MX,1520995560,83,16.86,-99.88,78.8,6.93
355,genhe,8,CN,1520996959,66,50.78,121.52,16.01,10.76
356,juneau,90,US,1520992560,93,58.3,-134.42,41.0,2.48
357,cidreira,92,BR,1520996959,75,-30.17,-50.22,67.76,6.62
358,siocon,0,PH,1520996960,95,11.03,124.04,82.88,10.42
359,eskil,80,TR,1520996960,96,38.4,33.41,41.12,3.83
360,yining,88,CN,1520996961,93,29.04,114.56,63.98,4.94
361,cabo san lucas,5,MX,1520995560,53,22.89,-109.91,75.2,3.94
362,fairbanks,75,US,1520992680,64,64.84,-147.72,35.6,3.36
363,champerico,40,MX,1520995560,65,16.38,-93.6,77.0,11.41
364,dera ghazi khan,24,PK,1520996962,77,30.03,70.64,67.13,10.87
365,port lincoln,20,AU,1520996963,87,-34.72,135.86,66.86,8.86
366,stokmarknes,0,NO,1520996963,100,68.56,14.91,24.83,11.1
367,fairlie,1,US,1520994900,50,33.31,-95.96,51.8,10.29
368,petropavlovsk-kamchatskiy,40,RU,1520994600,53,53.05,158.65,21.2,4.47
369,lichuan,64,CN,1520996964,78,30.3,108.94,60.02,2.59
370,wonthaggi,12,AU,1520996965,65,-38.6,145.59,69.65,3.71
371,morehead,90,US,1520992380,74,38.18,-83.43,30.2,6.93
372,sterling,1,US,1520995920,59,39.0,-77.4,39.2,6.93
373,kamyshin,0,RU,1520996966,67,50.08,45.4,2.78,10.2
374,diamantino,48,BR,1520996967,93,-14.4,-56.44,74.42,3.6
375,klaksvik,88,FO,1520994000,80,62.23,-6.59,41.0,20.8
376,opuwo,80,NA,1520996969,59,-18.06,13.84,72.71,5.95
377,vanimo,36,PG,1520996969,100,-2.67,141.3,82.88,15.79
378,rio grande,0,BR,1520996799,85,-32.03,-52.1,68.84,13.0
379,leningradskiy,8,RU,1520996970,97,69.38,178.42,-16.3,9.64
380,samarai,80,PG,1520996971,100,-10.62,150.67,80.09,3.71
381,abalak,0,NE,1520996971,49,15.46,6.28,61.82,3.38
